885465453038032448,7/14/2031,87563,705971
968522671094562,5/11/2057,58152,599640
990126426989760,3/8/2017,29145,026242
90056888526883,7/17/2100,23851,251042
03277507801,8/22/2072,46816,049883
59377903251,4/11/2046,72448,019191
60510221,6/3/2035,09573,364265
3272789256263909,6/27/2085,53264,946263
4032216019,12/12/2085,13311,784578
8481441321041,5/3/2064,21456,253952
668224411503,8/20/2058,02705,565415
90455641787536,4/6/2042,95692,109977
51886457962823,8/11/2022,91783,782763
4895029346,11/29/2075,11309,596175
712674123817075,7/13/2034,02838,235581
072907817383,4/29/2090,37769,281092
17783561424571257,5/25/2031,97433,339977
3795711319793505555,12/3/2108,34943,778389
270174364010,7/7/2048,93871,621488
5287752612856,8/19/2079,13514,891688
26714237293,10/16/2044,73634,625469
402722,4/3/2028,97640,595025
782735922009806398,9/17/2053,42451,010644
967869,2/20/2041,55152,814254
824813556956,3/29/2066,69302,286061
89215752,11/9/2065,70179,189589
0697529903877823367,7/20/2048,19078,035705
60133,3/8/2109,62068,212846
4625649201948703,2/2/2054,68417,082061
218080540414,8/9/2045,03919,145107
675887617976218,11/4/2035,81850,951675
5380638803,3/2/2099,19280,283771
0711978723,2/12/2084,01391,849260
28089772065815972746,1/30/2117,69795,514338
6580433849,9/24/2070,24887,355831
68656,4/13/2055,78210,335326
495682989466538580,1/29/2092,54410,206914
5845720845746,11/20/2058,22126,430932
233544100814,3/7/2087,69406,732886
9637573137700,3/2/2028,04172,873112
922314,9/20/2074,00855,129899
73538,2/4/2105,68843,314078
78430836445,3/31/2047,56912,743827
8181688281979,5/24/2032,87137,169532
52491936013916373,9/7/2018,44056,476830
54640604421546,10/13/2064,65448,531686
9117712155498,4/2/2060,23059,520218
074347131428,2/2/2108,71623,004217
79060398184174566268,6/14/2039,83049,089490
895664,4/1/2107,92368,345797
094657899420,10/18/2056,81692,432622
8693258982100,3/24/2067,16408,977939
28682,3/2/2054,71140,535969
4656994468276313,6/27/2036,81359,797064
56625402,2/27/2110,69326,567532
879359971960096857,3/23/2109,71882,885916
055243280506059,4/30/2048,97364,593073
21234450906559068696,1/28/2110,14927,519117
6684372547,10/3/2084,28016,982769
648187799902196,9/28/2109,89429,813972
69778956027588062021,9/17/2051,07383,023414
74931030354811848445,3/15/2024,94806,596458
66079368679663384,5/23/2068,75086,410978
95568678865,6/13/2030,81206,861429
39740,3/17/2052,30297,427007
423786616144424312,12/7/2019,12986,959182
49969898058,12/12/2021,67132,802168
16732448301269885,6/18/2023,85426,392681
132895263091418402,2/7/2105,24708,430059
9634881,8/14/2117,59754,099907
5122695,7/4/2026,95966,044360
2645304334646119,7/28/2062,57886,203721
8505201596,6/23/2054,57694,520836
402796668,12/5/2090,65150,343610
049415996,7/19/2019,98703,848450
0539840968040,3/17/2024,23329,440471
1448176307,10/22/2024,68094,684658
24668688327960,5/26/2047,71828,738126
66481242422,6/22/2109,08344,746696
33229106452895,2/14/2055,30834,458097
8088957114929,1/1/2054,06621,225891
08255312992719,4/21/2042,17737,784870
12075896,2/1/2093,24954,361072
9774778894,3/29/2074,88185,227425
6679751479493091,9/2/2060,78101,319851
8916820999645691,11/1/2101,36147,294572
61206,3/28/2087,20468,838157
4984454767199097,3/1/2062,62832,227154
029744,4/15/2028,01106,528169
81920,11/29/2108,63618,367079
2108249897,5/11/2034,47043,083583
19546403989735,10/31/2098,32188,193864
6680936644757869828,3/26/2072,97366,501168
0549815244358,1/15/2115,16205,400478
7613964297618281,2/4/2102,42441,719248
25637602818,11/9/2091,08453,285053
35317,11/30/2046,40860,780675
0911709020419920,12/30/2111,68938,191822
047695694,7/11/2105,33017,207876
4165647742096837,12/7/2097,87833,999688
01195551163,1/23/2116,81579,957584
81014218030890,8/11/2079,29134,000984
68544499253930817,3/29/2097,26608,295456
1120474147857282960,12/12/2078,37426,791928
59577183420,4/25/2022,34068,172182
247096874,7/4/2039,91293,887335
65792,9/5/2065,08431,731687
3720084,6/19/2070,56402,913078
363782,8/30/2052,21620,754404
831569310550442343,10/19/2113,59370,234638
53566447,3/16/2115,52610,804734
59480,9/9/2034,87001,842040
4632940123576,3/13/2095,75140,929875
70889320,9/10/2075,12144,116302
553762748431,3/14/2021,90177,348651
7824323808145451415,2/8/2100,45889,567969
641864435703795175,1/12/2109,02083,660074
4378816480,1/19/2115,54380,065444
72243194460128,12/31/2036,64791,889758
8788317,3/10/2034,84579,483275
6178535573,7/2/2041,99908,475025
6914236565,5/3/2045,89272,624460
5576582,3/26/2072,88116,300159
5921599319531817796,1/29/2063,71413,371754
24248618863490105,1/19/2091,98210,444032
31299172,2/27/2061,98879,638311
2432533,9/27/2051,60779,021528
96634065832001,1/19/2060,92316,736040
773895343696030105,8/2/2076,53861,989776
99789539512,9/28/2078,99843,540944
18382041899510659418,2/18/2098,56307,959214
3780301746030105,2/3/2062,19297,768365
36306133463244621,10/3/2069,30640,591001
69458642264025,5/12/2043,23267,923023
5516224044174602450,1/23/2027,31545,255407
9436134836796,12/20/2090,59168,721270
241851546,4/9/2081,06961,266817
3753960427504874950,1/25/2021,80075,405242
62378332200131839382,12/19/2110,44954,319384
62666719902,7/2/2026,22342,337988
